;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2013-10-08 21:27:27
;----------------------------------------------

;Address Opcode 	ASM
0x01A8	0x6EE2      	MOVWF       FSR1H 
0x01AA	0x8CE6      	BSF         POSTINC1, 6 
0x01AC	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Configure_Endpoint
__Lib_USB_genHID_USB_EP0_Transmit_Options:
0x01AE	0x0E80      	MOVLW       128
0x01B0	0x0103      	MOVLB       3
0x01B2	0x112B      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 0, 1
0x01B4	0x6E00      	MOVWF       R0 
0x01B6	0xF0FFC000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
0x01BA	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Transmit_Options
__Lib_USB_genHID_USB_EP0_Send_RAM:
0x01BC	0xF0FCC32B  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src, __Lib_USB_genHID_inPipes
0x01C0	0xF0FDC32C  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src+1, __Lib_USB_genHID_inPipes+1
0x01C4	0xF100C32D  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size, __Lib_USB_genHID_inPipes+4
0x01C8	0xF101C32E  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, __Lib_USB_genHID_inPipes+5
0x01CC	0x0E80      	MOVLW       128
0x01CE	0x0103      	MOVLB       3
0x01D0	0x112F      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 0, 1
0x01D2	0x6E00      	MOVWF       R0 
0x01D4	0x8000      	BSF         R0, 0 
0x01D6	0xF0FFC000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
0x01DA	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Send_RAM
__Lib_USB_genHID_USB_EP0_Send_ROM:
0x01DC	0xF0FCC32B  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, __Lib_USB_genHID_inPipes
0x01E0	0xF0FDC32C  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, __Lib_USB_genHID_inPipes+1
0x01E4	0xF0FEC32D  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, __Lib_USB_genHID_inPipes+2
0x01E8	0xF100C32E  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, __Lib_USB_genHID_inPipes+4
0x01EC	0xF101C32F  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, __Lib_USB_genHID_inPipes+5
0x01F0	0x0E80      	MOVLW       128
0x01F2	0x0103      	MOVLB       3
0x01F4	0x1130      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 0, 1
0x01F6	0x6E00      	MOVWF       R0 
0x01F8	0xF0FFC000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
0x01FC	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Send_ROM
__Lib_USB_genHID_USB_Check_HID_Request:
0x01FE	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x0202	0x0E1F      	MOVLW       31
0x0204	0x1601      	ANDWF       R1, 1 
0x0206	0x5001      	MOVF        R1, 0 
0x0208	0x0A01      	XORLW       1
0x020A	0xA4D8      	BTFSS       STATUS, 2 
0x020C	0x0012      	RETURN      0
L___Lib_USB_genHID_USB_Check_HID_Request207:
0x020E	0x0104      	MOVLB       4
0x0210	0x5124      	MOVF        1060, 0, 1
0x0212	0x0A00      	XORLW       0
0x0214	0xA4D8      	BTFSS       STATUS, 2 
0x0216	0x0012      	RETURN      0
L___Lib_USB_genHID_USB_Check_HID_Request208:
0x0218	0x5121      	MOVF        1057, 0, 1
0x021A	0x0A06      	XORLW       6
0x021C	0xE13A      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request209
0x021E	0xD02F      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request210
L___Lib_USB_genHID_USB_Check_HID_Request212:
0x0220	0x0100      	MOVLB       0
0x0222	0x51E4      	MOVF        __Lib_USB_genHID_USBActiveConfiguration, 0, 1
0x0224	0x0A01      	XORLW       1
0x0226	0xE113      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request213
0x0228	0x0E80      	MOVLW       _configDescriptor1
0x022A	0x0103      	MOVLB       3
0x022C	0x6F2B      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1
0x022E	0x0E2F      	MOVLW       hi_addr(_configDescriptor1)
0x0230	0x6F2C      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1
0x0232	0x0E00      	MOVLW       higher_addr(_configDescriptor1)
0x0234	0x6F2D      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1
0x0236	0x0E12      	MOVLW       18
0x0238	0x272B      	ADDWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1, 1
0x023A	0x0E00      	MOVLW       0
0x023C	0x232C      	ADDWFC      FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1, 1
0x023E	0x232D      	ADDWFC      FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1, 1
0x0240	0x0E09      	MOVLW       9
0x0242	0x6F2E      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, 1
0x0244	0x0E00      	MOVLW       0
0x0246	0x6F2F      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, 1
0x0248	0x0E40      	MOVLW       64
0x024A	0x6F30      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 1
0x024C	0xDFC7      	RCALL       __Lib_USB_genHID_USB_EP0_Send_ROM
L___Lib_USB_genHID_USB_Check_HID_Request213:
0x024E	0xD021      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request211
L___Lib_USB_genHID_USB_Check_HID_Request214:
0x0250	0x0100      	MOVLB       0
0x0252	0x51E4      	MOVF        __Lib_USB_genHID_USBActiveConfiguration, 0, 1
0x0254	0x0A01      	XORLW       1
0x0256	0xE10E      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request215
0x0258	0x0EA9      	MOVLW       _hid_rpt_desc
0x025A	0x0103      	MOVLB       3
0x025C	0x6F2B      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1
0x025E	0x0E2F      	MOVLW       hi_addr(_hid_rpt_desc)
0x0260	0x6F2C      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1
0x0262	0x0E00      	MOVLW       higher_addr(_hid_rpt_desc)
0x0264	0x6F2D      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1
0x0266	0x0E21      	MOVLW       33
0x0268	0x6F2E      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, 1
0x026A	0x0E00      	MOVLW       0
0x026C	0x6F2F      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, 1
0x026E	0x0E40      	MOVLW       64
0x0270	0x6F30      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 1
0x0272	0xDFB4      	RCALL       __Lib_USB_genHID_USB_EP0_Send_ROM
L___Lib_USB_genHID_USB_Check_HID_Request215:
0x0274	0xD00E      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request211
L___Lib_USB_genHID_USB_Check_HID_Request216:
0x0276	0x0103      	MOVLB       3
0x0278	0x6B2B      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x027A	0xDF99      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
0x027C	0xD00A      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request211
L___Lib_USB_genHID_USB_Check_HID_Request210:
0x027E	0x0104      	MOVLB       4
0x0280	0x5123      	MOVF        1059, 0, 1
0x0282	0x0A21      	XORLW       33
0x0284	0xE0CD      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request212
0x0286	0x5123      	MOVF        1059, 0, 1
0x0288	0x0A22      	XORLW       34
0x028A	0xE0E2      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request214
0x028C	0x5123      	MOVF        1059, 0, 1
0x028E	0x0A23      	XORLW       35
0x0290	0xE0F2      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request216
L___Lib_USB_genHID_USB_Check_HID_Request211:
L___Lib_USB_genHID_USB_Check_HID_Request209:
0x0292	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x0296	0x0E60      	MOVLW       96
0x0298	0x1601      	ANDWF       R1, 1 
0x029A	0x0E05      	MOVLW       5
0x029C	0x6E00      	MOVWF       R0 
0x029E	0x5000      	MOVF        R0, 0 
L___Lib_USB_genHID_USB_Check_HID_Request281:
0x02A0	0xE004      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request282
0x02A2	0x3201      	RRCF        R1, 1 
0x02A4	0x9E01      	BCF         R1, 7 
0x02A6	0x0FFF      	ADDLW       255
0x02A8	0xD7FB      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request281
L___Lib_USB_genHID_USB_Check_HID_Request282:
0x02AA	0x5001      	MOVF        R1, 0 
0x02AC	0x0A01      	XORLW       1
0x02AE	0xA4D8      	BTFSS       STATUS, 2 
0x02B0	0x0012      	RETURN      0
L___Lib_USB_genHID_USB_Check_HID_Request217:
0x02B2	0xD027      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request218
L___Lib_USB_genHID_USB_Check_HID_Request220:
0x02B4	0xD039      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request221:
0x02B6	0xD038      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request222:
0x02B8	0x0EDF      	MOVLW       __Lib_USB_genHID_idle_rate
0x02BA	0x0103      	MOVLB       3
0x02BC	0x6F2B      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src, 1
0x02BE	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_idle_rate)
0x02C0	0x6F2C      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src+1, 1
0x02C2	0x0E01      	MOVLW       1
0x02C4	0x6F2D      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size, 1
0x02C6	0x0E00      	MOVLW       0
0x02C8	0x6F2E      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, 1
0x02CA	0x0E40      	MOVLW       64
0x02CC	0x6F2F      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 1
0x02CE	0xDF76      	RCALL       __Lib_USB_genHID_USB_EP0_Send_RAM
0x02D0	0xD02B      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request223:
0x02D2	0x0103      	MOVLB       3
0x02D4	0x6B2B      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x02D6	0xDF6B      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
0x02D8	0xF0DFC423  	MOVFF       1059, __Lib_USB_genHID_idle_rate
0x02DC	0xD025      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request224:
0x02DE	0x0103      	MOVLB       3
0x02E0	0x0EDA      	MOVLW       __Lib_USB_genHID_active_protocol
0x02E2	0x6F2B      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src, 1
0x02E4	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_active_protocol)
0x02E6	0x6F2C      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src+1, 1
0x02E8	0x0E01      	MOVLW       1
0x02EA	0x6F2D      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size, 1
0x02EC	0x0E00      	MOVLW       0
0x02EE	0x6F2E      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, 1
0x02F0	0x6B2F      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 1
0x02F2	0xDF64      	RCALL       __Lib_USB_genHID_USB_EP0_Send_RAM
0x02F4	0xD019      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request225:
0x02F6	0x0103      	MOVLB       3
0x02F8	0x6B2B      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x02FA	0xDF59      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
0x02FC	0xF0DAC422  	MOVFF       1058, __Lib_USB_genHID_active_protocol
0x0300	0xD013      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request219
L___Lib_USB_genHID_USB_Check_HID_Request218:
0x0302	0x0104      	MOVLB       4
0x0304	0x5121      	MOVF        1057, 0, 1
0x0306	0x0A01      	XORLW       1
0x0308	0xE0D5      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request220
0x030A	0x5121      	MOVF        1057, 0, 1
0x030C	0x0A09      	XORLW       9
0x030E	0xE0D3      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request221
0x0310	0x5121      	MOVF        1057, 0, 1
0x0312	0x0A02      	XORLW       2
0x0314	0xE0D1      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request222
0x0316	0x5121      	MOVF        1057, 0, 1
0x0318	0x0A0A      	XORLW       10
0x031A	0xE0DB      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request223
0x031C	0x5121      	MOVF        1057, 0, 1
0x031E	0x0A03      	XORLW       3
0x0320	0xE0DE      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request224
0x0322	0x5121      	MOVF        1057, 0, 1
0x0324	0x0A0B      	XORLW       11
0x0326	0xE0E7      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request225
L___Lib_USB_genHID_USB_Check_HID_Request219:
0x0328	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Check_HID_Request
__Lib_USB_genHID_USB_Enable_Endpoint:
0x032A	0x0E70      	MOVLW       UEP0
0x032C	0x6EE1      	MOVWF       FSR1 
0x032E	0x0E0F      	MOVLW       hi_addr(UEP0)
0x0330	0x6EE2      	MOVWF       FSR1H 
0x0332	0x0103      	MOVLB       3
0x0334	0x5126      	MOVF        FARG___Lib_USB_genHID_USB_Enable_Endpoint_ep, 0, 1
0x0336	0x26E1      	ADDWF       FSR1, 1 
0x0338	0xB0D8      	BTFSC       STATUS, 0 
0x033A	0x2AE2      	INCF        FSR1H, 1 
0x033C	0xFFE6C327  	MOVFF       FARG___Lib_USB_genHID_USB_Enable_Endpoint_options, POSTINC1
0x0340	0xA527      	BTFSS       FARG___Lib_USB_genHID_USB_Enable_Endpoint_options, 2, 1
0x0342	0xD004      	BRA         L___Lib_USB_genHID_USB_Enable_Endpoint193
0x0344	0xF32BC326  	MOVFF       FARG___Lib_USB_genHID_USB_Enable_Endpoint_ep, FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum
0x0348	0x6B2C      	CLRF        FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, 1
0x034A	0xDEB5      	RCALL       __Lib_USB_genHID_USB_Configure_Endpoint
L___Lib_USB_genHID_USB_Enable_Endpoint193:
0x034C	0xA327      	BTFSS       FARG___Lib_USB_genHID_USB_Enable_Endpoint_options, 1, 1
0x034E	0xD005      	BRA         L___Lib_USB_genHID_USB_Enable_Endpoint194
0x0350	0xF32BC326  	MOVFF       FARG___Lib_USB_genHID_USB_Enable_Endpoint_ep, FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum
0x0354	0x0E01      	MOVLW       1
0x0356	0x6F2C      	MOVWF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, 1
0x0358	0xDEAE      	RCALL       __Lib_USB_genHID_USB_Configure_Endpoint
L___Lib_USB_genHID_USB_Enable_Endpoint194:
0x035A	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Enable_Endpoint
__Lib_USB_genHID_USB_Transfer_Packet:
0x035C	0x0103      	MOVLB       3
0x035E	0x5127      	MOVF        FARG___Lib_USB_genHID_USB_Transfer_Packet_dir, 0, 1
0x0360	0x0A00      	XORLW       0
0x0362	0xE012      	BZ          L___Lib_USB_genHID_USB_Transfer_Packet195
0x0364	0xF000C326  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_ep, R0
0x0368	0x0E00      	MOVLW       0
0x036A	0x6E01      	MOVWF       R1 
0x036C	0x3600      	RLCF        R0, 1 
0x036E	0x9000      	BCF         R0, 0 
0x0370	0x3601      	RLCF        R1, 1 
0x0372	0x0EE0      	MOVLW       __Lib_USB_genHID_BDTEntry_InPtr
0x0374	0x2400      	ADDWF       R0, 0 
0x0376	0x6EE9      	MOVWF       FSR0 
0x0378	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_InPtr)
0x037A	0x2001      	ADDWFC      R1, 0 
0x037C	0x6EEA      	MOVWF       FSR0H 
0x037E	0xF004CFEE  	MOVFF       POSTINC0, R4
0x0382	0xF005CFEE  	MOVFF       POSTINC0, R5
0x0386	0xD011      	BRA         L___Lib_USB_genHID_USB_Transfer_Packet196
L___Lib_USB_genHID_USB_Transfer_Packet195:
0x0388	0xF000C326  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_ep, R0
0x038C	0x0E00      	MOVLW       0
0x038E	0x6E01      	MOVWF       R1 
0x0390	0x3600      	RLCF        R0, 1 
0x0392	0x9000      	BCF         R0, 0 
0x0394	0x3601      	RLCF        R1, 1 
0x0396	0x0EE5      	MOVLW       __Lib_USB_genHID_BDTEntry_OutPtr
0x0398	0x2400      	ADDWF       R0, 0 
0x039A	0x6EE9      	MOVWF       FSR0 
0x039C	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_OutPtr)
0x039E	0x2001      	ADDWFC      R1, 0 
0x03A0	0x6EEA      	MOVWF       FSR0H 
0x03A2	0xF004CFEE  	MOVFF       POSTINC0, R4
0x03A6	0xF005CFEE  	MOVFF       POSTINC0, R5
L___Lib_USB_genHID_USB_Transfer_Packet196:
0x03AA	0x0E02      	MOVLW       2
0x03AC	0x2404      	ADDWF       R4, 0 
0x03AE	0x6EE1      	MOVWF       FSR1 
0x03B0	0x0E00      	MOVLW       0
0x03B2	0x2005      	ADDWFC      R5, 0 
0x03B4	0x6EE2      	MOVWF       FSR1H 
0x03B6	0xFFE6C328  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_data_, POSTINC1
0x03BA	0xFFE6C329  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_data_+1, POSTINC1
0x03BE	0x0E01      	MOVLW       1
0x03C0	0x2404      	ADDWF       R4, 0 
0x03C2	0x6EE1      	MOVWF       FSR1 
0x03C4	0x0E00      	MOVLW       0
0x03C6	0x2005      	ADDWFC      R5, 0 
0x03C8	0x6EE2      	MOVWF       FSR1H 
0x03CA	0xFFE6C32A  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_len, POSTINC1
0x03CE	0xFFE9C004  	MOVFF       R4, FSR0
0x03D2	0xFFEAC005  	MOVFF       R5, FSR0H
